Title,Cat,PDF
,,
**********CVPR'14**********,,
Rich feature hierarchies for accurate object detection and semantic segmentation,DET,
PANDA: Pose Aligned Networks for Deep Attribute Modeling,Attribute,http://www.cs.berkeley.edu/~nzhang/papers/cvpr14_panda.pdf
BING: Binarized Normed Gradients for Objectness Estimation at 300fps,DET,http://mmcheng.net/mftp/Papers/ObjectnessBING.pdf
Large-scale video classification with convolutional neural networks,AR,http://vision.stanford.edu/pdf/karpathy14.pdf
,,
**********ECCV'14**********,,
Going deeper with convolutions,CNN,
Edge Boxes: Locating Object Proposals from Edges,DET,
Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,CNN,
Multi-Scale Orderless Pooling of Deep Convolutional Activation Features,CNN,
Part-based R-CNNs for Fine-grained Category Detection,CLS,http://arxiv.org/pdf/1407.3867v1
Visualizing and Understanding Convolutional Networks,CNN,http://ftp.cs.nyu.edu/~fergus/papers/zeilerECCV2014.pdf
Analyzing the Performance of Multilayer Neural Networks for Object Recognition,CNN,http://arxiv.org/pdf/1407.1610.pdf
Spatio-Temporal Object Detection Proposals,DET,http://lear.inrialpes.fr/~oneata/3Dproposals/
Simultaneous Detection and Segmentation,SDS,http://www.eecs.berkeley.edu/Research/Projects/CS/vision/shape/sds/
Training Object Class Detectors from Eye Tracking Data, Gaze,
,,
**********BMVC/ICLR/MM**********,,
"[BMVC2014]How good are detection proposals, really?",DET,https://www.mpi-inf.mpg.de/departments/computer-vision-and-multimodal-computing/research/object-recognition-and-scene-understanding/how-good-are-detection-proposals-really/
,,
**********NIPS'14**********,,
Two-stream convolutional networks for action recognition,AR,
On the number of linear regions of deep neural networks,CNN,
Deeply supervised nets,CNN,
Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,CNN,http://lmb.informatik.uni-freiburg.de/Publications/2014/DB14b/exemplar_CNN.pdf
Deep Learning Face Representation by Joint Identification - Verification,Face,
,,
**********NIPS'15**********,,
Faster RCNN: Towards Real-Time Object Detection with Region Proposal Networks,Det,https://github.com/ShaoqingRen/faster_rcnn
Learning to Segment Object Candidates, Seg,
Decoupled Deep Neural Network for Semi-supervised Semantic Segmentation, Seg, https://github.com/HyeonwooNoh/DecoupledNet
,,
**********CVPR'15**********,,
Hypercolumns for Object Segmentation and Fine-grained Localization,SDS,http://www.cs.berkeley.edu/~bharath2/pubs/pdfs/BharathCVPR2015.pdf
Domain-Size Pooling in Local Descriptors: DSP-SIFT,Match,http://vision.ucla.edu/~jingming/proj/dsp/
Fully Convolutional Networks for Semantic Segmentation,Seg,http://www.cs.berkeley.edu/~jonlong/
Deeply learned face representations are sparse selective and robust,Face,http://arxiv.org/pdf/1412.1265v1
Is object localization for free? - Weakly-supervised learning with convolutional neural networks, DET, http://www.di.ens.fr/willow/research/weakcnn/
Eye tracking assisted extraction of attentionally important objects from videos, Gaze,
Recurrent Convolutional Neural Network for Object Recognition, Cls,
,,

**********ICCV'15**********,,
Holistically-Nested Edge Detection, Edge Det, http://arxiv.org/abs/1504.06375
Fast RCNN,Det,https://github.com/rbgirshick/fast-rcnn
Learning Deconvolution Network for Semantic Segmentation, Seg, https://github.com/HyeonwooNoh/DeconvNet
Object Detection via a Multi-Region and Semantic Segmentation-Aware CNN Model, Det,http://arxiv.org/abs/1505.01749
BoxSup: Exploiting Bounding Boxes to Supervise Convolutional Networks for Semantic Segmentation, Seg,
Context-Aware CNNs for Person Head Detection, Det,
,,
**********Journal Paper 2014***********,,
A Comprehensive Study Over VLAD and Product Quantization in Large-Scale Image Retrieval,IR,https://github.com/socialsensor/multimedia-indexing
,,
,,
**********Journal Paper 2015***********,,
,,
**********arxiv 2015***********,,
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,CNN,
Delving Deep into Rectifiers:Surpassing Human-Level Performance on ImageNet Classification,CNN,
Data-free Parameter Pruning for Deep Neural Networks,CNN,
Deepsaliency: multi-task deep neural network model for salient object detection, DET,
DeepFix: A Fully Convolutional Neural Network for predicting Human Eye Fixations, Gaze,
Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks, Det, 
Instance-aware Semantic Segmentation via Multi-task Network Cascades, Det & Seg,
Deep Residual Learning for Image Recognition, Cls,
